TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate
Derry Girls,2018,8.4,28718,25,3,comedy,GB,TVSeries,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",16,Sitcoms,,12/21/18,"6,400,000","Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell, Dylan Llewellyn, Tara Lynne O'Neill, Kathy Kiera Clarke, Tommy Tiernan, Ian McElhinney, Siobhan McSweeney",,Lisa McGee,,,2,12/21/18
Don't F**k with Cats: Hunting an Internet Killer,2019,8,50250,62,1,crime,US,TVSeries,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,18,True Crime Documentaries,,12/18/19,"3,700,000",,Mark Lewis,,,,1,12/18/19
Grace and Frankie,2015,8.2,48435,30,7,comedy,US,TVSeries,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",16,Sitcoms,,8/13/21,"13,700,000","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",,"Marta Kauffman, Howard J. Morris",,,7,8/13/21
Halston,2021,7.5,14040,47,1,drama,US,TVSeries,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,18,TV Shows Based on Books,,5/14/21,"1,900,000","Ewan McGregor, Bill Pullman, Rebecca Dayan, David Pittu, Krysta Rodriguez, Rory Culkin, Vera Farmiga, Gian Franco Rodriguez, Sullivan Jones, Kelly Bishop, Dilone, James Waterston, Jason Kravits, Mary Beth Peil",Daniel Minahan,,,,1,5/14/21
I Think You Should Leave with Tim Robinson,2019,7.9,11411,16,3,comedy,US,TVSeries,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,18,TV Comedies,,4/23/19,"4,100,000","Tim Robinson, Andy Samberg, Sam Richardson, Will Forte, Fred Willard, Cecily Strong, Tim Heidecker, Kate Berlant, Patti Harrison, Conner O'Malley",,"Tim Robinson, Zach Kanin",,,2,4/23/19
Inside Job,2021,7.6,15137,28,1,comedy,US,TVSeries,Lizard people? Real. The moon landing? Fake. Managing the world's conspiracies is a full-time job for an awkward genius and her dysfunctional co-workers.,18,TV Comedies,,10/22/21,"21,500,000","Lizzy Caplan, Christian Slater, Clark Duke, Tisha Campbell, Andrew Daly, Chris Diamantopoulos, John DiMaggio, Bobby Lee, Brett Gelman",,Shion Takeuchi,,,1,10/22/21
iZombie,2015,7.8,66488,42,5,scifi,US,TVSeries,A medical student-turned-zombie tries to retain her humanity by eating brains at the morgue and finds she has an uncanny new gift for solving crimes.,18,TV Mysteries,,4/30/16,"9,500,000","Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley, David Anders, Aly Michalka, Bryce Hodgson, Robert Knepper",,"Diane Ruggiero-Wright, Rob Thomas",,,5,4/30/16
Kim's Convenience,2016,8.3,16970,22,5,comedy,CA,TVSeries,"While running a convenience store in Toronto, members of a Korean-Canadian family deal with customers, each other and the evolving world around them.",13,Sitcoms,,7/12/18,"6,800,000","Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu, Andrew Phung, Nicole Power",,"Ins Choi, Kevin White",,,5,7/12/18
Kingdom,2019,8.3,43760,48,2,action,KR,TVSeries,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",18,Horror TV Serials,,1/25/19,"10,200,000","Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jun Suk-ho, Kim Hye-jun, Park Byung-eun, Huh Joon-ho",,"Kim Eun-hee, Kim Seong-hun, Park Inje",,,2,1/25/19
Lupin,2021,7.5,100575,46,3,crime,FR,TVSeries,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",16,TV Mysteries,,1/8/21,"18,700,000","Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Soufiane Guerrab, Antoine Gouy, Fargass Assandé, Vincent Londez, Shirine Boutella",,George Kay,,,2,1/8/21
Maid,2021,8.4,74955,54,1,drama,US,TVSeries,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",18,TV Shows Based on Books,,10/1/21,"61,500,000","Margaret Qualley, Andie MacDowell, Nick Robinson, Anika Noni Rose, Tracy Vilar, Billy Burke, Rylea Nevaeh Whittet",,Molly Smith Metzler,,,1,10/1/21
Maniac,2018,7.7,74877,39,1,drama,US,TVSeries,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,18,TV Dramas,,9/21/18,"4,500,000","Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",,Patrick Somerville,,,1,9/21/18
Midnight Mass,2021,7.7,102321,64,1,action,US,TVSeries,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",16,TV Mysteries,,9/24/21,"12,700,000","Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Mike Flanagan,Mike Flanagan,,,1,9/24/21
Mindhunter,2017,8.6,261429,53,2,crime,US,TVSeries,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.,18,TV Mysteries,,10/13/17,"27,600,000","Jonathan Groff, Holt McCallany, Anna Torv, Cotter Smith, Hannah Gross, Michael Cerveris, Joe Tuttle, Albert Jones, Stacey Roca, Cameron Britton",,Joe Penhall,,,2,10/13/17
Money Heist,2017,8.3,450797,50,5,crime,ES,TVSeries,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,18,TV Thrillers,,7/19/19,"33,700,000","Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Perić, Hovik Keuchkerian, Luka Peroš, Belén Cuesta, Fernando Cayo, Rodrigo de la Serna, Najwa Nimri, Fernando Soto, Mario de la Rosa, Antonio Romero, Mikel Bustamante, José Manuel Seda, Ramón Agirre, Alba Flores, Enrique Arce, Patrick Criado, Diana Gómez, Miguel Ángel Silvestre, Paco Tous, José Manuel Poga, Kiti Mánver, María Pedraza",,Álex Pina,,,5,7/19/19
Narcos,2015,8.8,404486,52,3,drama,US,TVSeries,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,18,TV Thrillers,,11/30/16,"59,900,000","Wagner Moura, Pedro Pascal, Boyd Holbrook, Damián Alcázar, Alberto Ammann, Francisco Denis, Pepe Rapazote, Matias Varela, Michael Stahl-David, Matt Whelan, Arturo Castro, Javier Cámara, José María Yazpik, Eric Lange, Brett Cullen, Miguel Ángel Silvestre, Kerry Bishé, Paulina Gaitán, Cristina Umaña, Paulina García, Juan Sebastián Calero, Joanna Christie, Taliana Vargas, Andrea Londo, Manolo Cardona, Diego Cataño, Raúl Méndez, Bruno Bichir, Stephanie Sigman, Florencia Lozano, Juan Pablo Raba, Leynar Gomez, Konstantin Melikhov, Martina García, Maurice Compte, Mauricio Cujar, Jorge Monterrosa, Germán Jaramillo, Juan Pablo Shuk, Julián Díaz, Alejandro Buitrago, Federico Rivera",,"Chris Brancato, Carlo Bernard, Doug Miro",,,3,11/30/16
Ozark,2017,8.5,278223,60,4,crime,US,TVSeries,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",18,TV Thrillers,,7/21/17,"36,100,000","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery, Julia Garner, Janet McTeer, Charlie Tahan, Jessica Frances Dukes, Damian Young, Felix Solis, Alfonso Herrera, Adam Rothenberg",,"Bill Dubuque, Mark Williams",,,4,7/21/17
